[Mon Jul 28 07:31:54.010770 2014] [:error] [pid 2499] [client 217.89.68.101:51509] PHP Fatal error:  Class 'SQLite3' not found in /home/root/dataencrypterservice/public/index.php on line 12
[Mon Jul 28 07:32:41.439047 2014] [:error] [pid 2502] [client 217.89.68.101:51532] PHP Fatal error:  Class 'SQLite3' not found in /home/root/dataencrypterservice/public/index.php on line 12
[Mon Jul 28 07:32:43.971041 2014] [:error] [pid 2502] [client 217.89.68.101:51532] PHP Fatal error:  Class 'SQLite3' not found in /home/root/dataencrypterservice/public/index.php on line 12
[Mon Jul 28 07:34:00.625108 2014] [:error] [pid 3787] [client 217.89.68.101:51547] PHP Fatal error:  Class 'SQLite' not found in /home/root/dataencrypterservice/public/index.php on line 12
[Mon Jul 28 07:35:57.184450 2014] [:error] [pid 3784] [client 217.89.68.101:51563] PHP Fatal error:  Call to undefined function sqlite_open() in /home/root/dataencrypterservice/public/index.php on line 13
[Mon Jul 28 07:39:37.160662 2014] [:error] [pid 3784] [client 217.89.68.101:51628] PHP Warning:  file_put_contents(../data.db): failed to open stream: Permission denied in /home/root/dataencrypterservice/public/index.php on line 13
[Mon Jul 28 07:39:56.359326 2014] [:error] [pid 3840] [client 217.89.68.101:51633] PHP Warning:  file_put_contents(../data.db): failed to open stream: Permission denied in /home/root/dataencrypterservice/public/index.php on line 13
[Mon Jul 28 07:39:57.411846 2014] [:error] [pid 3788] [client 217.89.68.101:51634] PHP Warning:  file_put_contents(../data.db): failed to open stream: Permission denied in /home/root/dataencrypterservice/public/index.php on line 13
[Mon Jul 28 07:39:57.831880 2014] [:error] [pid 3785] [client 217.89.68.101:51635] PHP Warning:  file_put_contents(../data.db): failed to open stream: Permission denied in /home/root/dataencrypterservice/public/index.php on line 13
[Mon Jul 28 07:39:58.104584 2014] [:error] [pid 3786] [client 217.89.68.101:51636] PHP Warning:  file_put_contents(../data.db): failed to open stream: Permission denied in /home/root/dataencrypterservice/public/index.php on line 13
[Mon Jul 28 07:39:58.312544 2014] [:error] [pid 3787] [client 217.89.68.101:51637] PHP Warning:  file_put_contents(../data.db): failed to open stream: Permission denied in /home/root/dataencrypterservice/public/index.php on line 13
[Mon Jul 28 07:39:58.326624 2014] [:error] [pid 3784] [client 217.89.68.101:51638] PHP Warning:  file_put_contents(../data.db): failed to open stream: Permission denied in /home/root/dataencrypterservice/public/index.php on line 13
[Mon Jul 28 07:47:22.192516 2014] [access_compat:error] [pid 3786] [client 217.89.68.101:51773] AH01797: client denied by server configuration: /home/root/dataencrypterservice/public/data.db
[Mon Jul 28 07:47:22.212782 2014] [access_compat:error] [pid 3786] [client 217.89.68.101:51773] AH01797: client denied by server configuration: /home/root/dataencrypterservice/public/data.db
[Mon Jul 28 07:50:38.434577 2014] [:error] [pid 3785] [client 217.89.68.101:51807] PHP Notice:  Undefined variable: content in /home/root/dataencrypterservice/public/index.php on line 23
[Mon Jul 28 07:58:09.148036 2014] [:error] [pid 3784] [client 173.255.212.158:33657] PHP Fatal error:  Class 'ComposerAutoloaderInit121be5eaa40d048a768b1e749267f948' not found in /home/root/dataencrypterservice/vendor/autoload.php on line 7
[Mon Jul 28 08:00:47.028727 2014] [:error] [pid 3785] [client 217.89.68.101:52013] PHP Fatal error:  Class 'ComposerAutoloaderInit121be5eaa40d048a768b1e749267f948' not found in /home/root/dataencrypterservice/vendor/autoload.php on line 7, referer: http://95.85.12.63:8080/install
[Mon Jul 28 08:01:35.605333 2014] [:error] [pid 3840] [client 217.89.68.101:52021] PHP Notice:  Undefined variable: name in /home/root/dataencrypterservice/public/index.php on line 13, referer: http://95.85.12.63:8080/install
[Mon Jul 28 09:17:00.732740 2014] [:error] [pid 4760] [client 217.89.68.101:54922] PHP Notice:  Undefined variable: db in /home/root/dataencrypterservice/public/index.php on line 12
[Mon Jul 28 09:17:00.733185 2014] [:error] [pid 4760] [client 217.89.68.101:54922] PHP Fatal error:  Call to a member function query() on a non-object in /home/root/dataencrypterservice/public/index.php on line 12
[Mon Jul 28 09:26:06.030656 2014] [:error] [pid 5000] [client 217.89.68.101:55104] PHP Fatal error:  Call to undefined method SQLite3::queryAll() in /home/root/dataencrypterservice/public/index.php on line 14, referer: http://95.85.12.63:8080/install
[Mon Jul 28 09:27:29.730104 2014] [:error] [pid 5181] [client 217.89.68.101:55137] PHP Fatal error:  Call to undefined method SQLite3::queryAll() in /home/root/dataencrypterservice/public/index.php on line 14, referer: http://95.85.12.63:8080/install
[Mon Jul 28 09:27:37.166903 2014] [:error] [pid 4764] [client 217.89.68.101:55138] PHP Notice:  Undefined variable: results in /home/root/dataencrypterservice/public/index.php on line 16, referer: http://95.85.12.63:8080/install
[Mon Jul 28 09:27:37.166936 2014] [:error] [pid 4764] [client 217.89.68.101:55138] PHP Fatal error:  Call to a member function fetchArray() on a non-object in /home/root/dataencrypterservice/public/index.php on line 16, referer: http://95.85.12.63:8080/install
[Mon Jul 28 09:35:15.935285 2014] [:error] [pid 4760] [client 217.89.68.101:55241] PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, unrecognized token: &quot;86f7e437faa5a7fce15d1ddcb9eaeaea377667b8&quot; in /home/root/dataencrypterservice/public/index.php on line 14, referer: http://95.85.12.63:8080/
[Mon Jul 28 09:35:15.937265 2014] [:error] [pid 4760] [client 217.89.68.101:55241] PHP Fatal error:  Call to a member function fetchArray() on a non-object in /home/root/dataencrypterservice/public/index.php on line 15, referer: http://95.85.12.63:8080/
[Mon Jul 28 09:45:54.420100 2014] [:error] [pid 4979] [client 217.89.68.101:55440] PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, no such column: hash in /home/root/dataencrypterservice/public/index.php on line 19, referer: http://95.85.12.63:8080/?message=Fehler%20beim%20Einloggen!
[Mon Jul 28 09:46:26.996755 2014] [:error] [pid 4927] [client 217.89.68.101:55461] PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, no such column: hash in /home/root/dataencrypterservice/public/index.php on line 19, referer: http://95.85.12.63:8080/
[Mon Jul 28 09:48:04.276492 2014] [:error] [pid 4764] [client 217.89.68.101:55481] PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, no such column: hash in /home/root/dataencrypterservice/public/index.php on line 30, referer: http://95.85.12.63:8080/
[Mon Jul 28 09:48:04.276544 2014] [:error] [pid 4764] [client 217.89.68.101:55481] PHP Fatal error:  Call to a member function fetchArray() on a non-object in /home/root/dataencrypterservice/public/index.php on line 31, referer: http://95.85.12.63:8080/
